neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,review_scores_rating,instant_bookable,amenities_count,avg_price_calendar,availability_ratio,review_count,days_since_last_review
0.8620689655172413,0.1112075473221461,0.867703453390348,0.7272727272727273,0.125,0.2857142857142857,0.3333333333333333,0.0,0.15489130434782608,0.2857142857142857,0.26666666666666666,0.5600000000000005,0.0,0.41379310344827586,0.18974358974358974,0.9463806970509383,0.38235294117647056,0.006132756132756133
0.24137931034482757,0.4056726022033219,0.7046662536928352,0.36363636363636365,0.375,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.26766304347826086,0.42857142857142855,0.43333333333333335,0.40000000000000036,0.0,0.6896551724137931,0.20512820512820512,0.9041095890410958,0.8921568627450981,0.00974025974025974
0.3793103448275862,0.4874029638660238,0.6555676996722326,0.7272727272727273,0.375,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.33288043478260865,0.14285714285714285,0.16666666666666666,0.11999999999999922,0.0,0.6206896551724138,0.28205128205128205,0.5972602739726027,0.16666666666666666,0.22582972582972582
1.0,0.8923489304327115,0.003328121727911082,0.5454545454545455,0.375,0.5714285714285714,1.0,1.0,0.38858695652173914,0.0,0.23333333333333334,0.5399999999999991,1.0,0.45977011494252873,0.3076923076923077,0.5295698924731183,1.0,0.026334776334776336
0.9655172413793103,0.4581276214389822,0.6947951013679514,0.7272727272727273,0.375,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.2907608695652174,0.8571428571428572,0.4,0.08000000000000007,0.0,0.33333333333333337,0.38871794871794874,0.9013698630136986,0.4411764705882353,0.01875901875901876
0.3793103448275862,0.4829906708057985,0.6539941943311902,0.7272727272727273,0.375,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.36141304347826086,0.8571428571428572,0.0,0.46000000000000085,0.0,0.7011494252873564,0.2923076923076923,0.0,0.13725490196078433,0.4740259740259741
0.7586206896551724,0.6142735460222744,0.40972910421950104,0.7272727272727273,0.375,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.27038043478260865,0.2857142857142857,0.43333333333333335,0.6199999999999992,0.0,0.5057471264367817,0.2153846153846154,0.8136986301369863,0.9803921568627452,0.0927128427128427
0.7586206896551724,0.614592458329466,0.4098242061906703,0.7272727272727273,0.375,0.2857142857142857,0.3333333333333333,0.0,0.24999999999999997,0.2857142857142857,0.6333333333333333,0.7400000000000002,1.0,0.5172413793103449,0.22564102564102564,0.7972602739726027,0.9215686274509804,0.06096681096681097
0.7586206896551724,0.6165341902251358,0.4080885952169666,0.36363636363636365,0.375,0.2857142857142857,0.3333333333333333,1.0,0.22418478260869565,0.0,0.3333333333333333,0.6799999999999997,1.0,0.5517241379310345,0.17333333333333334,0.8575342465753425,0.9901960784313726,0.017316017316017316
0.7241379310344828,0.465785553676171,0.755230242632706,0.5454545454545455,0.25,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.7595108695652173,0.14285714285714285,0.16666666666666666,0.9199999999999999,1.0,0.9540229885057471,0.7025641025641025,0.7095890410958904,0.9509803921568628,0.046176046176046176
